Location,lng,lat,sum_vehicle
GLEN MORRIS ST AT HURON ST,-79.40040669,43.66428,393
GLOUCESTER ST AT IRWIN AVE & YONGE ST (PX 1416),-79.38525799,43.666547,6946
GOULD ST AT YONGE ST (PX 909),-79.381369,43.657415,3935
GROSVENOR ST AT QUEENS PARK CRES (PX 2280),-79.389912,43.66164,4684
HAKIMI AVE AT DRIVEWAY SOUTH OF ASHTONBEE RD,-79.35313276,43.65563898,871
HAMILTON ST AT THOMPSON ST,-79.35123198,43.6593437,288
HARBORD ST AT HOSKIN AVE & ST GEORGE ST (PX 838),-79.398444,43.664109,3061
HARBORD ST AT MAJOR ST,-79.40482306,43.66249451,2161
HARBORD ST AT SPADINA AVE (PX 280),-79.402109,43.663052,5192
HOMEWOOD AVE AT MAITLAND PL,-79.37551997,43.66574104,636
HOMEWOOD AVE AT WELLESLEY ST (PX 2349),-79.375852,43.666486,4139
HOSKIN AVE AT QUEENS PARK CRES W (PX 1482),-79.393897,43.665021,4166
HOSKIN AVE AT TOWER RD (PX 839),-79.395742,43.664686,1958
HOWARD ST AT ONTARIO ST,-79.37372966,43.67132837,810
HOWARD ST AT SHERBOURNE ST (PX 1458),-79.376449,43.671272,2902
ISABELLA ST AT JARVIS ST (PX 12),-79.379452,43.668893,14043
ISABELLA ST AT SHERBOURNE ST (PX 1391),-79.37578999,43.669656,2356
JARVIS ST AT 170M N OF DUNDAS ST (PX 2085),-79.37511001,43.65857,4292
JARVIS ST AT KING ST E (PX 3),-79.371913,43.650463,45695
JARVIS ST AT MAITLAND PL & MAITLAND ST (PX 1733),-79.377896,43.665216,13377
JARVIS ST AT QUEEN ST (PX 6),-79.37325399,43.653729,83395
JARVIS ST AT RICHMOND ST (PX 5),-79.37283099,43.652704,62776
JARVIS ST AT SHUTER ST (PX 7),-79.37391701,43.655361,15092
JARVIS ST AT WELLESLEY ST (PX 11),-79.37834701,43.666285,18336
JOHN ST AT KING ST (PX 1320),-79.38977299,43.646603,8155
JOHN ST AT QUEEN ST (PX 1461),-79.391137,43.649897,3734
JOHN ST AT RICHMOND ST (PX 269),-79.390796,43.649131,1998
KING ST AT PARLIAMENT ST (PX 245),-79.363245,43.652729,2718
KING ST AT PORTLAND ST (PX 1225),-79.400097,43.644453,5548
KING ST AT PRINCESS ST,-79.36705062,43.65154759,1309
KING ST AT RIVER ST (PX 2181),-79.356158,43.656868,3887
KING ST AT SHERBOURNE ST (PX 254),-79.368261,43.651277,2741
KING ST AT SIMCOE ST (PX 199),-79.38611,43.647395,2393
KING ST AT SPADINA AVE (PX 273),-79.395046,43.64547,67679
KING ST AT TRINITY ST,-79.36187481,43.6534977,2625
KING ST AT UNIVERSITY AVE (PX 77),-79.38480601,43.647662,74370
KING ST AT YONGE ST (PX 31),-79.377918,43.649148,34967
KING ST AT YORK ST (PX 72),-79.383578,43.647924,3719
KING ST E AT SUMACH ST (PX 1746),-79.358415,43.655582,2954
KING ST W AT WIDMER ST,-79.39109338,43.64631602,1879
LAKE SHORE BLVD AT LOWER JARVIS ST (PX 210),-79.369855,43.645631,10806
LAKE SHORE BLVD AT LOWER SHERBOURNE ST & SHERBOURNE ST (PX 203),-79.366099,43.646366,17640
LAKE SHORE BLVD AT LOWER SIMCOE ST (PX 1747),-79.383187,43.64034,5350
LAKE SHORE BLVD AT PARLIAMENT ST (PX 209),-79.361043,43.647738,11649
LAKE SHORE BLVD AT REES ST (PX 1408),-79.387036,43.639928,17594
LAKE SHORE BLVD AT YORK ST (PX 205),-79.38086799,43.64146,16151
LAKE SHORE BLVD N TCS AT YONGE ST (PX 211),-79.37585601,43.644277,7976
LAKE SHORE BLVD W AT LOWER SPADINA AVE (PX 215),-79.39224159,43.63849332,14714
LAKE SHORE BLVD W AT REES ST,-79.38681706,43.63943093,4135
LEONARD AVE AT WALES AVE,-79.40421505,43.65283389,464
LOWER JARVIS ST AT THE ESPLANADE (PX 1392),-79.370932,43.648225,14108
LOWER SHERBOURNE ST AT QUEENS QUAY E AND DOCKSIDE DR (PX 2351),-79.365422,43.645182,2029
LOWER SHERBOURNE ST AT THE ESPLANADE (PX 1441),-79.367301,43.649046,2349
LOWER SPADINA AVE AT QUEENS QUAY (PX 2410),-79.391889,43.637653,5525
MARKET ST AT THE ESPLANADE,-79.37174132,43.64804159,2198
MATILDA ST AT MUNRO ST,-79.35231294,43.66006123,157
MC CAUL ST AT QUEEN ST,-79.38975537,43.65019595,4458
MILL ST AT PARLIAMENT ST (PX 1894),-79.362141,43.650197,5723
MILL ST AT TRINITY ST,-79.35975493,43.65076064,1042
NASSAU ST AT SPADINA AVE (PX 278),-79.399231,43.655851,1552
NIAGARA ST AT PORTLAND ST,-79.39924106,43.64245916,1093
PARLIAMENT ST AT QUEEN ST (PX 246),-79.364462,43.655615,4877
PARLIAMENT ST AT RICHMOND ST (PX 223),-79.364023,43.654559,5869
PARLIAMENT ST AT SHUTER ST (PX 247),-79.365002,43.656943,2765
PARLIAMENT ST AT WELLESLEY ST (PX 251),-79.369561,43.668174,3834
PARLIAMENT ST AT WINCHESTER ST (PX 922),-79.368632,43.665875,2459
PETER ST AT QUEEN ST (PX 1589),-79.393702,43.649351,6375
PETER ST AT RICHMOND ST (PX 268),-79.393277,43.648393,4294
PORTLAND ST AT RICHMOND ST (PX 1097),-79.401127,43.646972,1393
PORTLAND ST AT WELLINGTON ST,-79.39955363,43.64318457,2718
POWER ST AT RICHMOND ST,-79.36303752,43.65482602,4218
PRINCESS ST AT SCADDING AVE,-79.365967,43.64892686,244
QUEEN ST AT 70M W OF YONGE ST (PX 1460),-79.38012,43.65226,3979
QUEEN ST AT RIVER ST (PX 174),-79.35653,43.657375,5595
QUEEN ST AT RYERSON AVE,-79.40200182,43.64761332,2508
QUEEN ST AT SHERBOURNE ST (PX 257),-79.369459,43.654525,7749
QUEEN ST AT SPADINA AVE (PX 276),-79.396381,43.648765,31893
QUEEN ST AT ST PATRICK ST (PX 2087),-79.388643,43.650421,2675
QUEEN ST AT SUMACH ST (PX 1865),-79.358924,43.656833,5890
QUEEN ST AT VICTORIA ST (PX 28),-79.378091,43.652682,3873
QUEEN ST AT YONGE ST (PX 34),-79.37925799,43.652439,27139
QUEEN ST AT YORK ST (PX 1691),-79.384964,43.651216,5539
QUEEN ST W AT UNIVERSITY AVE (PX 80),-79.386628,43.650852,48361
QUEENS PARK CR E AT WELLESLEY ST W (PX 84),-79.39064801,43.663584,5544
QUEENS PARK CRES AT QUEENS PARK RD (PX 227),-79.39297832,43.66596825,8023
QUEENS PARK CRES AT ST JOSEPH ST (PX 2318),-79.39118,43.664839,2081
QUEENS PARK CRES E  AT 125M N OF ST JOSEPH ST (PX 85),-79.391891,43.665923,1738
QUEENS QUAY AT 100M E OF YORK ST & WATERPARK PL,-79.37913692,43.64035991,2415
QUEENS QUAY AT REES ST & ROBERTSON CRES (PX 2412),-79.386573,43.638854,5726
QUEENS QUAY W AT 95M EAST OF LOWER SIMCOE ST (PX 2343),-79.381598,43.63974,2244
